"","dose","beat","qNet","dvdtmax","vmax","vrest","APD50","APD90","max_dv","camax","carest","CaTD50","CaTD90","EADs","noDepols","noRepols","drug","sample"
"52",2,999,45.3396748265928,72.6623955451805,41.5397027586675,-88.0227945891871,331,416,-0.251409979470916,0.000232212292934654,7.43923895725328e-05,354,780,0,0,0,"bepridil",6
"53",3,998,39.4803003264336,72.5361606681717,41.6923102245961,-88.0257352744767,358,455,-0.227308575950659,0.000228944382366682,7.41243169058971e-05,371,801,0,0,0,"bepridil",6
"54",4,906,35.2808595461135,72.4040097450943,41.7755328898277,-88.0283528246561,379,487,-0.211374193110082,0.000225672663239438,7.3821187027212e-05,386,822,0,0,0,"bepridil",6
"55",5,995,32.1273690304526,72.2675069794746,41.8129969338676,-88.0306572282632,396,514,-0.199742047074882,0.000222554244746818,7.35121464079691e-05,400,841,0,0,0,"bepridil",6
"56",6,871,29.6861159714749,72.1273835269705,41.8189789727567,-88.0327474797456,411,538,-0.179590803308023,0.000219677413807913,7.32137740753442e-05,413,858,0,0,0,"bepridil",6
"57",7,994,27.7535030590162,71.9837939713053,41.8025232261104,-88.0346431542607,424,559,-0.161627024330752,0.000217017398129206,7.29282750189063e-05,423,873,0,0,0,"bepridil",6
"58",8,974,26.202269539766,71.8387115625307,41.7709178471387,-88.0363898508373,435,578,-0.14733790413848,0.00021459491572544,7.26603307827655e-05,434,889,0,0,0,"bepridil",6
"59",9,834,24.9424734439714,71.6906499988246,41.7264113409665,-88.0380159326835,445,596,-0.135654987908402,0.000212379555113544,7.24094101269564e-05,444,903,0,0,0,"bepridil",6
"60",10,860,23.9143627645033,71.541317711973,41.6730737472809,-88.0395274003642,455,612,-0.125833829209689,0.000210360025007956,7.21751363389884e-05,454,916,0,0,0,"bepridil",6
"61",15,781,20.9724430660961,70.7767783032232,41.326611158879,-88.0459718830038,492,675,-0.0928914499567231,0.000202482576340184,7.12119790127401e-05,496,969,0,0,0,"bepridil",6
"62",20,829,20.0483777777647,69.9951877641458,40.9198501951143,-88.0511851204779,521,721,-0.0745784693380253,0.000197174945929628,7.05101874058983e-05,527,1007,0,0,0,"bepridil",6
"63",25,991,20.1145604543514,69.2069139558061,40.4973871114837,-88.055655262668,543,755,-0.0635933067527516,0.000193484141252685,6.99871220021563e-05,551,1036,0,0,0,"bepridil",6
"64",1,857,56.3459606722505,72.9204716612253,41.6042944509852,-88.0199557997789,288,356,-0.296556070581201,0.000230738463357493,7.42969216479829e-05,332,758,0,0,0,"bepridil",7
"65",2,975,47.9914176824873,72.9300934466564,41.5657681430595,-88.0236693694068,323,404,-0.258400070102514,0.000225924924398856,7.40632815817615e-05,355,783,0,0,0,"bepridil",7
"66",3,940,42.332788766174,72.9273418225282,41.6377881142382,-88.0268620049679,349,442,-0.232964330960086,0.000221202082417538,7.37454875323843e-05,375,805,0,0,0,"bepridil",7
"67",4,783,38.238995067738,72.9150479871416,41.72976397636,-88.0296443091822,370,473,-0.215685623824409,0.000216751130805049,7.3399927637082e-05,393,826,0,0,0,"bepridil",7
"68",5,996,35.1555184720808,72.8947819651388,41.7778625245393,-88.0321304548162,387,500,-0.203602427628665,0.000212668956359451,7.30553090166338e-05,409,845,0,0,0,"bepridil",7
"69",6,960,32.7688944695684,72.8672636311919,41.7944909892307,-88.0343642594975,402,523,-0.19415576122031,0.000208961127369301,7.27230864526539e-05,425,863,0,0,0,"bepridil",7
"70",7,801,30.886822767815,72.8347784461893,41.7870253014953,-88.0364126478504,415,544,-0.174907097763138,0.000205610380106469,7.24089681634663e-05,439,879,0,0,0,"bepridil",7
"71",8,964,29.3860400309477,72.7962397693823,41.7635857026778,-88.0382924902128,427,562,-0.159611212255244,0.000202577285987558,7.2113809910885e-05,453,895,0,0,0,"bepridil",7
"72",9,811,28.1781187369501,72.7534336891465,41.7257668993627,-88.0400390978561,437,579,-0.147184485233556,0.000199838191234394,7.18387754520086e-05,466,910,0,0,0,"bepridil",7
"73",10,991,27.2038155520504,72.7059783713934,41.6781323070031,-88.0416650927303,447,595,-0.136876853998084,0.000197346788765832,7.15816052929662e-05,477,922,0,0,0,"bepridil",7
"74",15,987,24.566430047252,72.4026046563579,41.3429202468934,-88.0486255448834,484,656,-0.103179439363825,0.000187851734673182,7.05370349542863e-05,526,976,0,0,0,"bepridil",7
"75",20,961,23.9595252943977,72.0030870728775,40.9240292453816,-88.0542922945131,512,700,-0.0846245294866821,0.000181616203290288,6.97855893682359e-05,561,1014,0,0,0,"bepridil",7
"76",25,991,24.3106250009633,71.5140161736649,40.4724700936769,-88.0592027941543,533,731,-0.0735410109350588,0.000177377546080482,6.92311297495661e-05,586,1041,0,0,0,"bepridil",7
"77",1,887,54.6095888992144,72.9220631584991,41.7144205809183,-88.0179967160049,293,363,-0.293689897011349,0.000237393479428863,7.47418360400305e-05,329,753,0,0,0,"bepridil",8
"78",2,979,46.4990533187123,72.9335620681748,41.7007252107594,-88.0212610770326,327,410,-0.254933373369935,0.000233770396905232,7.45785957332823e-05,351,777,0,0,0,"bepridil",8
"79",3,881,41.2298939429163,72.9328556066275,41.8053261551739,-88.0242009205771,351,446,-0.231381056331089,0.000229527886263774,7.42924676752977e-05,368,797,0,0,0,"bepridil",8
"80",4,947,37.5234097056137,72.9219129990032,41.8959325115378,-88.0268304259169,371,476,-0.215299858014725,0.000225248007702206,7.39628228737216e-05,385,818,0,0,0,"bepridil",8
"81",5,866,34.7987485456095,72.9054988306589,41.9396746685356,-88.0292161831632,387,502,-0.203949914957432,0.000221194247411162,7.36271725799715e-05,400,836,0,0,0,"bepridil",8
"82",6,874,32.7418750591467,72.881418353132,41.951300586529,-88.031407978567,401,524,-0.190745480450698,0.000217432148043055,7.32994276317351e-05,414,854,0,0,0,"bepridil",8
"83",7,890,31.1624702843924,72.8524480043238,41.9387679426466,-88.0334305047402,413,544,-0.172300689511177,0.000213965723513254,7.29852393832403e-05,428,870,0,0,0,"bepridil",8
"84",8,892,29.9402942422758,72.8182961438966,41.9092805312912,-88.0353271170999,424,562,-0.157567863129355,0.000210799242975642,7.2688809991069e-05,440,884,0,0,0,"bepridil",8
"85",9,969,28.9909396257847,72.780512634566,41.8666889951166,-88.0370933726582,433,578,-0.145527983367314,0.000207895841636836,7.2409371905434e-05,452,899,0,0,0,"bepridil",8
"86",10,1000,28.25582693698,72.7377111440644,41.8133307257906,-88.0387708375196,442,593,-0.135471701501982,0.000205236807050255,7.2147172792085e-05,463,911,0,0,0,"bepridil",8
"87",15,794,26.5991943817817,72.4697124967484,41.4512221764695,-88.0460286167052,477,652,-0.102085399318871,0.000194863466725731,7.10633062067512e-05,512,964,0,0,0,"bepridil",8
"88",20,959,26.7115742985567,72.1152011056645,41.008074077517,-88.0520574523712,503,694,-0.083615350450384,0.00018783292881847,7.0266645005311e-05,548,1002,0,0,0,"bepridil",8
"89",25,949,27.5963644251577,71.6808100049469,40.5363084026199,-88.0573120169704,524,725,-0.0726557904668375,0.00018290412383012,6.96691764209563e-05,573,1029,0,0,0,"bepridil",8
"90",1,845,54.9934289817511,72.8312252722407,41.5740196057551,-88.018718720247,291,360,-0.295502987832928,0.000235665742439134,7.45948046538013e-05,330,754,0,0,0,"bepridil",9
"91",2,1000,46.1869285892797,72.7586126264263,41.5593250468283,-88.0220632183595,327,410,-0.25615795160605,0.00023267546997947,7.44522727790135e-05,351,778,0,0,0,"bepridil",9
"92",3,933,40.2665504291625,72.6776521680895,41.7260406235607,-88.0250120689927,353,448,-0.231038153436637,0.000229125969817653,7.41890089093482e-05,369,798,0,0,0,"bepridil",9
"93",4,998,35.9915975597836,72.5903100112345,41.8236275351666,-88.0276137283546,374,480,-0.214228983175123,0.000225506674321433,7.3882360048718e-05,385,819,0,0,0,"bepridil",9
